ID_Requisito,Descripcion_Funcional,Caso_Uso,Modulo_Drupal_Pantalla,Caso_Prueba,Evidencia_Implementacion,Estado
RF-05.2.1,Perfil de Actores: Gobierno y Entidades Públicas,CU-05,zinco_usuarios,CP-FUNC-05.2,Filtro Hélice Gobierno,Implementado
RF-05.2.2,Perfil de Actores: Generadores de Conocimiento (Universidades/Grupos),CU-05,zinco_grupos,CP-FUNC-05.3,Filtro Hélice Academia / UNICOR,Implementado
RF-05.2.3,Perfil de Actores: Explotadores del Conocimiento (Empresas/Gremios),CU-05,zinco_usuarios,CP-FUNC-05.4,Filtro Hélice Sector Productivo,Implementado
RF-05.2.4,Perfil de Actores: Organizaciones Intermediarias y Sociedad,CU-05,zinco_redes,CP-FUNC-05.5,Filtro Hélice Sociedad Civil,Implementado
RF-05.2.5,Perfil de Actores: Agentes Financiadores y Fondos de CTeI,CU-05,zinco_usuarios,CP-FUNC-05.6,Filtro Hélice Financiadores,Implementado
RF-06.1,Gestión de Contenidos Dinámicos: Módulo de Noticias CTI,CU-06,zinco_core,CP-FUNC-06.1,Tipo de Contenido Noticia / Vistas,Implementado
RF-06.2,Gestión de Contenidos Dinámicos: Agenda y Calendario de Eventos,CU-06,zinco_core,CP-FUNC-06.2,Tipo de Contenido Evento / Calendario,Implementado
RF-06.3,"Gestión de Cursos, Talleres y Capacitación en Habilidades 4.0",CU-06,zinco_core,CP-FUNC-06.3,Catálogo de Cursos / Inscripción,Implementado
RF-06.4,Gestión de Convocatorias Departamentales y Nacionales de CTI,CU-06,zinco_proyectos,CP-FUNC-06.4,Portal de Convocatorias / Alertas,Implementado
RF-07.1,Caja de Herramientas CTI: Gestión y Carga de Metodologías y Guías,CU-07,zinco_core,CP-FUNC-07.1,Gestión de Recursos y Guías PDF,Implementado
RF-07.2.1,Caja de Herramientas: Navegación por Categorías Metodológicas,CU-07,zinco_front,CP-FUNC-07.2,Filtrado por Categorías de Innovación,Implementado
RF-07.2.2,Caja de Herramientas: Listado y Descarga de Recursos y Plantillas,CU-07,zinco_front,CP-FUNC-07.3,Descarga de Documentos / Storage,Implementado
RF-07.2.3,Caja de Herramientas: Vista Detallada de Recursos Multimedia,CU-07,zinco_front,CP-FUNC-07.4,Visualizador Multimedia / Videos,Implementado
RF-07.2.4,Caja de Herramientas: Buscador Especializado de Herramientas,CU-07,zinco_front,CP-FUNC-07.5,Búsqueda por Palabras Clave,Implementado
RF-08.1,Motor de Búsqueda Global y Avanzado con Autocompletado,CU-08,zinco_front,CP-FUNC-08.1,Buscador Principal / Drupal Search,Implementado
RF-08.2.1,Búsqueda Especializada de Actores y Organizaciones CTI,CU-08,zinco_usuarios,CP-FUNC-08.2,Filtro Avanzado de Actores,Implementado
RF-08.2.2,Búsqueda Especializada de Proyectos de Investigación,CU-08,zinco_proyectos,CP-FUNC-08.3,Filtro Avanzado de Proyectos,Implementado
RF-08.2.3,Búsqueda Especializada de Retos de Innovación Abierta,CU-08,zinco_retos,CP-FUNC-08.4,Filtro Avanzado de Retos,Implementado
RF-08.2.4,Búsqueda Especializada de Noticias y Boletines CTI,CU-08,zinco_core,CP-FUNC-08.5,Filtro Avanzado de Noticias,Implementado
RF-08.2.5,Búsqueda Especializada de Convocatorias Abiertas,CU-08,zinco_proyectos,CP-FUNC-08.6,Filtro Avanzado de Convocatorias,Implementado
RF-08.3,"Filtros Facetados por Atributos, Ordenamiento y Paginación",CU-08,zinco_front,CP-FUNC-08.7,Facet Filters / Better Exposed Filters,Implementado
RF-09.1,Interfaz Conversacional (Chat) para Consultas de Usuario,CU-09,zinco_front,CP-FUNC-09.1,Widget de Chat / Frontend Interactivo,Implementado
RF-09.2,Comprensión de Lenguaje Natural (NLU) para Identificación de Intenciones,CU-09,zinco_servicios,CP-FUNC-09.2,Servicio NLU / Procesamiento Semántico,Implementado
RF-09.3.1,"Consultas Específicas de Entidades, Convocatorias y Proyectos",CU-09,zinco_servicios,CP-FUNC-09.3,Respuestas Precisas sobre Base de Datos,Implementado
RF-09.3.2,Búsquedas Dirigidas y Redirección a Recursos Específicos,CU-09,zinco_servicios,CP-FUNC-09.4,Enlaces Directos a Fichas de Contenido,Implementado
RF-10.1.1,Captura y Registro Estructurado de Necesidades de Formación,CU-10,zinco_proyectos,CP-FUNC-10.1,Formulario de Necesidades de Talento,Implementado
RF-10.1.2,Captura y Registro de Necesidades Puntuales de I+D para Sectores,CU-10,zinco_proyectos,CP-FUNC-10.2,Formulario de Desafíos Científicos,Implementado
RF-10.2.1,Visualización y Directorio de Necesidades Identificadas en Córdoba,CU-10,zinco_proyectos,CP-FUNC-10.3,Directorio Público de Demandas CTI,Implementado
RF-10.2.2,"Filtrado de Necesidades por Actor Proponente, Sector y Ubicación",CU-10,zinco_proyectos,CP-FUNC-10.4,Filtros por Municipio y Cadena Productiva,Implementado
RF-11.1,"Gestión Integral de Usuarios, Perfiles y Roles RBAC",CU-11,zinco_usuarios,CP-FUNC-11.1,Drupal User Management / Roles y Permisos,Implementado
RF-11.2,Sistema de Mensajería Interna Directa entre Actores del Ecosistema,CU-11,zinco_usuarios,CP-FUNC-11.2,Bandeja de Entrada/Salida de Mensajes,Implementado
RF-11.3,Sistema de Notificaciones y Alertas Automáticas Transaccionales,CU-11,zinco_core,CP-FUNC-11.3,Despacho SMTP / Drupal Messages,Implementado
RF-12.1,Gestión Centralizada de Taxonomías Institucionales y Vocabularios CTI,CU-12,zinco_core,CP-FUNC-12.1,Taxonomy Manager / Vocabularios CTeI,Implementado
RF-12.2,Configuración de Parámetros Globales del Sistema y Políticas,CU-12,zinco_core,CP-FUNC-12.2,Formularios de Configuración del Sitio,Implementado
RF-12.3,"Gestión de APIs, Credenciales e Integración con Inteligencia Artificial",CU-12,zinco_servicios,CP-FUNC-12.3,Panel de Conectores IA / API Keys,Implementado
